,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
962,MUTHOOTFIN,EQ,2019-02-28,516.85,527.0,530.0,514.95,530.0,528.0,522.62,768101,401422243.35,17138,275274,35.84,2,2019,448.5284565471472,0.021572990229273392,Slight or No change
963,MUTHOOTFIN,EQ,2019-03-01,528.0,528.3,536.3,528.3,529.65,530.7,531.41,677044,359787681.95,32400,302018,44.61,3,2019,448.6631078222707,0.005113636363636376,Slight or No change
964,MUTHOOTFIN,EQ,2019-03-05,530.7,525.0,578.85,525.0,567.3,569.55,560.24,2520463,1412053944.75,58097,647847,25.7,3,2019,449.39608488636816,0.07320520067834924,Slight or No change
965,MUTHOOTFIN,EQ,2019-03-06,569.55,570.0,576.85,558.25,565.0,567.65,567.7,968467,549798068.4,23831,230407,23.79,3,2019,449.67095059725494,-0.003335966991484418,Slight or No change
966,MUTHOOTFIN,EQ,2019-03-07,567.65,565.0,578.0,560.65,574.0,572.8,572.34,513822,294081931.9,17129,81159,15.8,3,2019,449.8226061062878,0.009072491852373687,Slight or No change
967,MUTHOOTFIN,EQ,2019-03-08,572.8,574.9,586.5,568.05,572.5,570.9,577.55,1469812,848886356.9,25950,210181,14.3,3,2019,450.24769755841515,-0.0033170391061452253,Slight or No change
968,MUTHOOTFIN,EQ,2019-03-11,570.9,573.5,598.0,572.2,594.0,594.0,589.73,2761767,1628687631.25,60616,1204491,43.61,3,2019,451.18981218232176,0.040462427745664886,Slight or No change
969,MUTHOOTFIN,EQ,2019-03-12,594.0,597.5,605.9,588.3,592.8,592.75,598.91,1125370,673998399.55,24795,224481,19.95,3,2019,451.5668458333351,-0.002104377104377053,Slight or No change
970,MUTHOOTFIN,EQ,2019-03-13,592.75,596.0,603.2,590.05,593.2,591.95,596.07,879215,524071035.1,36253,287960,32.75,3,2019,451.85835416784516,-0.0013496415014760954,Slight or No change
971,MUTHOOTFIN,EQ,2019-03-14,591.95,597.0,612.9,592.15,597.0,595.5,604.29,1980768,1196956122.2,56721,349515,17.65,3,2019,452.52720291240564,0.005997128135822205,Slight or No change
972,MUTHOOTFIN,EQ,2019-03-15,595.5,598.0,606.8,593.5,594.35,596.9,599.17,2331463,1396933979.15,78988,1067926,45.8,3,2019,453.31416544643184,0.0023509655751468017,Slight or No change
973,MUTHOOTFIN,EQ,2019-03-18,596.9,600.0,605.3,591.2,595.15,595.7,596.47,508042,303032060.15,20574,92729,18.25,3,2019,453.4830893139363,-0.0020103869994972934,Slight or No change
974,MUTHOOTFIN,EQ,2019-03-19,595.7,599.4,603.15,594.05,596.95,597.65,599.2,822797,493018248.95,16005,137824,16.75,3,2019,453.7595601040946,0.0032734597951988853,Slight or No change
975,MUTHOOTFIN,EQ,2019-03-20,597.65,600.0,600.0,589.55,593.8,593.2,594.25,413943,245987326.35,12807,110905,26.79,3,2019,453.8939607789188,-0.007445829498870515,Slight or No change
976,MUTHOOTFIN,EQ,2019-03-22,593.2,595.0,601.9,591.35,595.6,594.35,595.39,681777,405923364.55,27514,207670,30.46,3,2019,454.1165817273775,0.0019386378961563366,Slight or No change
977,MUTHOOTFIN,EQ,2019-03-25,594.35,592.5,593.7,584.6,591.8,591.25,589.48,448632,264457901.4,7575,74874,16.69,3,2019,454.2594593096857,-0.0052157819466644995,Slight or No change
978,MUTHOOTFIN,EQ,2019-03-26,591.25,593.5,601.95,592.0,594.9,595.9,598.55,796801,476925002.85,10810,390449,49.0,3,2019,454.52107578278793,0.007864693446088866,Slight or No change
979,MUTHOOTFIN,EQ,2019-03-27,595.9,600.0,603.2,589.15,593.0,593.95,599.16,1402151,840119332.15,21900,920467,65.65,3,2019,454.97279233822934,-0.0032723611344184222,Slight or No change
980,MUTHOOTFIN,EQ,2019-03-28,593.95,598.4,613.7,596.05,611.85,609.95,607.46,2419862,1469971417.6,53667,768247,31.75,3,2019,455.83449074628714,0.02693829446923135,Slight or No change
981,MUTHOOTFIN,EQ,2019-03-29,609.95,614.9,624.7,612.0,614.0,615.6,617.89,1639109,1012788707.75,37871,498108,30.39,3,2019,456.4339437625702,0.009263054348717104,Slight or No change
982,MUTHOOTFIN,EQ,2019-04-01,615.6,618.0,622.5,612.2,614.0,614.1,617.23,681175,420443044.5,13649,153585,22.55,4,2019,456.67940591279176,-0.002436647173489237,Slight or No change
983,MUTHOOTFIN,EQ,2019-04-02,614.1,617.0,623.9,608.4,620.1,617.1,615.71,985966,607073148.8,29204,418142,42.41,4,2019,457.0400942710473,0.00488519785051289,Slight or No change
984,MUTHOOTFIN,EQ,2019-04-03,617.1,617.65,631.9,605.1,612.0,609.5,623.68,1703701,1062565681.8,35190,851739,49.99,4,2019,457.63012560780527,-0.012315670069680817,Slight or No change
985,MUTHOOTFIN,EQ,2019-04-04,609.5,613.1,617.6,603.75,608.0,606.3,611.04,596132,364262484.45,10149,178352,29.92,4,2019,457.8311754598444,-0.005250205086136273,Slight or No change
986,MUTHOOTFIN,EQ,2019-04-05,606.3,608.0,622.95,604.0,622.0,617.05,612.43,880829,539445332.8,18594,230146,26.13,4,2019,458.14868548533434,0.01773049645390068,Slight or No change
987,MUTHOOTFIN,EQ,2019-04-08,617.05,628.9,628.9,610.4,613.5,613.65,618.18,814441,503467522.0,14855,166626,20.46,4,2019,458.4348824815653,-0.005510088323474549,Slight or No change
988,MUTHOOTFIN,EQ,2019-04-09,613.65,613.65,616.15,601.7,614.0,613.55,608.67,606254,369010689.8,15642,94208,15.54,4,2019,458.64710210412517,-0.000162959341644342,Slight or No change
989,MUTHOOTFIN,EQ,2019-04-10,613.55,612.0,618.0,606.95,610.15,610.1,611.33,354806,216903049.5,6450,75631,21.32,4,2019,458.768272838133,-0.0056230136093227134,Slight or No change
990,MUTHOOTFIN,EQ,2019-04-11,610.1,604.0,614.8,595.25,610.0,610.75,606.73,1216659,738189409.55,21811,136548,11.22,4,2019,459.18408731723895,0.0010653991148992237,Slight or No change
